
DEPTH           POR        PORW       BULK       PORT       PORF       PERM         HF         PF         SW         SH       CALC         CL       PORX       PORH        RWA       RMFA
1909.5000       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.010    100.000     74.037      0.000     74.037      0.000      0.000      0.247      0.168
1909.6250       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.010    100.000     74.914      0.000     74.914      0.000      0.000      0.262      0.169
1909.7500       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.010    100.000     75.680      0.000     75.680      0.000      0.000      0.284      0.176
1909.8750       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.010    100.000     75.809      0.000     75.809      0.000      0.000      0.298      0.179
1910.0000       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.010    100.000     76.969      0.000     76.969      0.000      0.000      0.278      0.166
1910.1250       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.010    100.000     76.398      0.000     76.398      0.000      0.000      0.289      0.175
1910.2500       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.010    100.000     77.006      0.000     77.006      0.000      0.000      0.286      0.180
1910.3750       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.010    100.000     77.272      0.000     77.272      0.000      0.000      0.311      0.202
1910.5000       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.011    100.000     78.614      0.000     78.614      0.000      0.000      0.325      0.218
1910.6250       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.011    100.000     79.573      0.000     79.573      0.000      0.000      0.308      0.214
1910.7500       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.011    100.000     80.951      0.000     80.951      0.000      0.000      0.311      0.215
1910.8750       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.011    100.000     81.985      0.000     81.985      0.000      0.000      0.314      0.212
1911.0000       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.011    100.000     83.095      0.000     83.095      0.000      0.000      0.303      0.195
1911.1250       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.011    100.000     83.932      0.000     83.932      0.000      0.000      0.298      0.183
1911.2500       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.011    100.000     83.385      0.000     83.385      0.000      0.000      0.304      0.170
1911.3750       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.012    100.000     81.832      0.000     81.832      0.000      0.000      0.332      0.176
1911.5000       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.012    100.000     79.233      0.000     79.233      0.000      0.000      0.290      0.170
1911.6250       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.012    100.000     73.633      0.000     73.633      0.000      0.000      0.238      0.149
1911.7500       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.012    100.000     68.551      0.000     68.551      0.000      0.000      0.280      0.178
1911.8750       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.012    100.000     65.452      0.000     65.452      0.000      0.000      0.326      0.192
1912.0000       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.012    100.000     64.755      0.000     64.755      0.000      0.000      0.290      0.163
1912.1250       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.012    100.000     62.990      0.000     62.990      0.000      0.000      0.226      0.130
1912.2500       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.012    100.000     58.160      0.000     58.160      0.000      0.000      0.149      0.091
1912.3750       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.013    100.000     51.304      0.000     51.304      0.000      0.000      0.127      0.084
1912.5000       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.013    100.000     44.124      0.000     44.124      0.000      0.000      0.202      0.148
1912.6250       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.013    100.000     38.123      0.000     38.123      0.000      0.000      0.197      0.154
1912.7500      16.174     16.174      0.000     16.174     16.174      0.620      0.000      0.033    100.000     33.118      0.000     33.118      0.000      0.000      0.174      0.143
1912.8750      14.108     14.108      0.000     14.108     14.108      0.202      0.000      0.051    100.000     28.153      0.000     28.153      0.000      0.000      0.149      0.137
1913.0000      13.258     13.258      0.000     13.258     13.258      0.128      0.000      0.067    100.000     24.215      0.000     24.215      0.000      0.000      0.141      0.146
1913.1250      27.006     19.504      0.000     27.006     19.504    219.703      0.009      0.101     72.222     20.629      0.000     20.629      3.751      3.751      0.404      0.440
1913.2500      26.484     19.226      0.000     26.484     19.226    165.588      0.018      0.134     72.595     18.995      0.000     18.995      3.629      3.629      0.401      0.457
1913.3750      29.789     19.746      0.000     29.789     19.746    992.798      0.031      0.171     66.288     17.748      0.000     17.748      5.021      5.021      0.474      0.564
1913.5000      29.551     19.784      0.000     29.551     19.784    872.845      0.043      0.208     66.950     17.000      0.000     17.000      4.883      4.883      0.465      0.571
1913.6250      30.878     20.082      0.000     30.878     20.082   1792.077      0.057      0.247     65.036     17.341      0.000     17.341      5.398      5.398      0.491      0.620
1913.7500      32.180     20.296      0.000     32.180     20.296   3628.417      0.072      0.287     63.071     18.601      0.000     18.601      5.942      5.942      0.520      0.647
